🚀 Starting Pi Monitor...
✅ Data pushed: {'timestamp': 1771356889966, 'cpu_temp': 43.0, 'cpu_usage': 4.5, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356896319, 'cpu_temp': 43.5, 'cpu_usage': 5.0, 'memory_usage': 60.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356902630, 'cpu_temp': 41.9, 'cpu_usage': 5.0, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356908964, 'cpu_temp': 42.5, 'cpu_usage': 5.5, 'memory_usage': 60.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356915293, 'cpu_temp': 41.9, 'cpu_usage': 5.2, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356921622, 'cpu_temp': 41.4, 'cpu_usage': 6.0, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356927957, 'cpu_temp': 41.9, 'cpu_usage': 5.5, 'memory_usage': 60.7, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356934289, 'cpu_temp': 43.0, 'cpu_usage': 4.2, 'memory_usage': 60.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356940623, 'cpu_temp': 41.9, 'cpu_usage': 4.5, 'memory_usage': 60.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356946974, 'cpu_temp': 43.0, 'cpu_usage': 3.5, 'memory_usage': 60.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356953407, 'cpu_temp': 43.5, 'cpu_usage': 4.5, 'memory_usage': 60.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356959741, 'cpu_temp': 43.0, 'cpu_usage': 4.5, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356966075, 'cpu_temp': 41.9, 'cpu_usage': 5.0, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356972406, 'cpu_temp': 43.0, 'cpu_usage': 6.8, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356978722, 'cpu_temp': 40.8, 'cpu_usage': 5.5, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356985112, 'cpu_temp': 41.4, 'cpu_usage': 4.7, 'memory_usage': 60.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356991457, 'cpu_temp': 43.0, 'cpu_usage': 11.6, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356997766, 'cpu_temp': 43.0, 'cpu_usage': 5.5, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357004074, 'cpu_temp': 43.0, 'cpu_usage': 5.5, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357010510, 'cpu_temp': 43.5, 'cpu_usage': 8.5, 'memory_usage': 61.3, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357016834, 'cpu_temp': 43.0, 'cpu_usage': 5.5, 'memory_usage': 62.5, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357023199, 'cpu_temp': 42.5, 'cpu_usage': 4.8, 'memory_usage': 61.5, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357029530, 'cpu_temp': 43.0, 'cpu_usage': 4.3, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357035837, 'cpu_temp': 42.5, 'cpu_usage': 4.5, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357042164, 'cpu_temp': 43.0, 'cpu_usage': 4.3, 'memory_usage': 60.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357048485, 'cpu_temp': 41.4, 'cpu_usage': 4.5, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357054905, 'cpu_temp': 41.9, 'cpu_usage': 3.8, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357061318, 'cpu_temp': 42.5, 'cpu_usage': 5.2, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357067725, 'cpu_temp': 43.5, 'cpu_usage': 3.5, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357074028, 'cpu_temp': 41.9, 'cpu_usage': 3.5, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357080358, 'cpu_temp': 44.1, 'cpu_usage': 3.3, 'memory_usage': 60.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357086793, 'cpu_temp': 42.5, 'cpu_usage': 4.5, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357093119, 'cpu_temp': 43.5, 'cpu_usage': 4.8, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357099551, 'cpu_temp': 43.0, 'cpu_usage': 4.5, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357105879, 'cpu_temp': 42.5, 'cpu_usage': 4.0, 'memory_usage': 61.3, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357112219, 'cpu_temp': 41.4, 'cpu_usage': 33.3, 'memory_usage': 65.4, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357118531, 'cpu_temp': 42.5, 'cpu_usage': 5.0, 'memory_usage': 65.7, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357124880, 'cpu_temp': 41.4, 'cpu_usage': 5.0, 'memory_usage': 64.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357131294, 'cpu_temp': 43.0, 'cpu_usage': 5.5, 'memory_usage': 64.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357137703, 'cpu_temp': 43.5, 'cpu_usage': 7.5, 'memory_usage': 64.1, 'disk_usage': 21.5}
